2009-11-05 00:16:56 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:16:56 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:16:56 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:17:10 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:17:10 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:17:10 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:17:10 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:17:10 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:17:23 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:17:23 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:17:23 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:17:23 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:17:23 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:29:22 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 41]
2009-11-05 00:30:02 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 41]
2009-11-05 00:31:32 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 42]
2009-11-05 00:31:42 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 42]
2009-11-05 00:37:47 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 63]
2009-11-05 00:38:22 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 63]
2009-11-05 00:38:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 63]
2009-11-05 00:38:58 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 63]
2009-11-05 00:38:58 Debug: Notice (8): Undefined index: a in [APP\app_controller.php, line 34]
2009-11-05 00:38:58 Debug: Notice (8): Undefined variable: setting in [APP\views\elements\sidebar\categories.ctp, line 34]
2009-11-05 00:40:16 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 199 of 1592 bytes in [APP\app_controller.php, line 63]
2009-11-05 00:40:16 Debug: Notice (8): Undefined index: a in [APP\app_controller.php, line 34]
2009-11-05 00:40:16 Debug: Notice (8): Undefined variable: setting in [APP\views\elements\sidebar\categories.ctp, line 34]
2009-11-05 00:40:37 Debug: Notice (8): Undefined index: a in [APP\app_controller.php, line 34]
2009-11-05 00:40:37 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:40:37 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:40:37 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:40:37 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:40:37 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:40:37 Debug: Notice (8): Undefined variable: setting in [APP\views\elements\sidebar\categories.ctp, line 34]
2009-11-05 00:41:21 Debug: Notice (8): Undefined index: a in [APP\app_controller.php, line 34]
2009-11-05 00:41:21 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:41:21 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:41:21 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
